population_size,generations,tournament_size,crossover_rate,mutation_rate,avg_fitness,std_fitness,max_fitness,min_fitness
80,100,2,0.85,0.04,461.1116666666666,2.2698411593961603,466.58866666666665,457.09866666666665
80,200,2,0.75,0.04,461.0138666666666,0.4807625424492052,462.30066666666664,460.40866666666665
50,200,3,0.75,0.04,460.38966666666664,1.182036378458797,460.92866666666663,457.09866666666665
80,100,2,0.75,0.04,460.32186666666666,1.8374705318876674,463.04066666666665,457.09866666666665
80,100,2,0.75,0.02,460.31246666666664,1.2660357902611596,460.92866666666663,457.09866666666665
80,100,2,0.85,0.02,460.0758666666666,1.5858928645333408,461.10066666666665,457.09866666666665
50,100,2,0.75,0.04,459.9814666666666,2.042035629246228,460.92866666666663,455.2866666666667
80,200,3,0.75,0.04,459.83226666666667,1.5400331309567437,460.92866666666663,457.09866666666665
50,100,2,0.85,0.02,459.81146666666666,2.4141523840332346,460.92866666666663,453.1286666666666
80,200,3,0.85,0.02,459.74266666666665,1.7976725693703663,460.92866666666663,457.09866666666665
80,100,3,0.75,0.04,459.71386666666666,2.3340010854039113,462.4526666666667,455.2866666666667
80,200,2,0.75,0.02,459.63266666666664,1.9905454305569303,460.92866666666663,456.14866666666666
80,200,2,0.85,0.04,459.61486666666667,2.2583099777389926,462.13266666666664,455.2866666666667
50,200,2,0.75,0.04,459.59846666666664,1.8133983934406972,460.92866666666663,457.09866666666665
80,200,3,0.85,0.04,459.59166666666664,1.8155320615914883,460.92866666666663,457.09866666666665
80,100,3,0.85,0.04,459.59139999999996,2.969541036990465,463.536,453.1286666666666
50,100,3,0.85,0.04,459.53246666666666,2.5726963719456344,460.92866666666663,453.1286666666666
80,100,3,0.85,0.02,459.29266666666666,1.898872179888771,460.92866666666663,457.09866666666665
50,100,3,0.85,0.02,459.25346666666667,4.130967516481096,460.92866666666663,448.0066666666667
50,200,2,0.85,0.02,459.20376666666664,3.573047888163694,460.92866666666663,450.29966666666667
50,200,2,0.85,0.04,459.14826666666664,2.7957333842044827,460.92866666666663,452.5966666666667
50,100,3,0.75,0.02,459.10626666666667,3.0389799165728624,460.92866666666663,451.3366666666667
50,200,3,0.85,0.02,458.94756666666666,2.9988655799596287,460.92866666666663,453.1166666666667
80,100,3,0.75,0.02,458.8102666666666,3.927054627127594,460.92866666666663,449.2166666666667
50,100,3,0.75,0.04,458.7305666666666,4.451498485528944,462.28866666666664,448.0266666666667
50,100,2,0.85,0.04,458.57946666666663,2.2265844695407235,460.92866666666663,455.2866666666667
80,200,3,0.75,0.02,458.2273666666666,3.717692416002145,460.92866666666663,449.2866666666667
50,200,2,0.75,0.02,458.1483666666667,3.020924952173851,460.92866666666663,451.8066666666667
50,200,3,0.85,0.04,458.14346666666665,3.608657392684665,461.07866666666666,449.2866666666667
50,200,3,0.75,0.02,457.58236666666664,5.206820656066832,460.92866666666663,447.0396666666667
80,200,2,0.85,0.02,457.3426666666667,3.353959649926223,460.92866666666663,449.2866666666667
50,100,2,0.75,0.02,455.83886666666666,5.674851849265406,460.92866666666663,447.4746666666667
